Date,Clicks,Impressions,CTR,Position
2025-02-16,1,87,1.15%,8.9
2025-02-17,2,131,1.53%,7.9
2025-02-18,5,161,3.11%,7.5
2025-02-19,4,149,2.68%,6.9
2025-02-20,1,201,0.5%,7.8
2025-02-21,4,152,2.63%,7.2
2025-02-22,0,77,0%,15.2
2025-02-23,2,108,1.85%,12.2
2025-02-24,3,227,1.32%,8.2
2025-02-25,0,225,0%,7
2025-02-26,1,210,0.48%,8.4
2025-02-27,3,238,1.26%,7.7
2025-02-28,1,188,0.53%,9.3
2025-03-01,1,79,1.27%,14
2025-03-02,3,96,3.12%,12.1
2025-03-03,2,209,0.96%,7.1
2025-03-04,1,232,0.43%,7.4
2025-03-05,6,281,2.14%,6
2025-03-06,4,206,1.94%,7.5
2025-03-07,1,357,0.28%,7
2025-03-08,1,66,1.52%,10.1
2025-03-09,0,82,0%,10.3
2025-03-10,3,188,1.6%,6.3
2025-03-11,2,217,0.92%,7.3
2025-03-12,0,204,0%,7.5
2025-03-13,2,215,0.93%,8
2025-03-14,2,159,1.26%,10.4
2025-03-15,1,78,1.28%,11.1
2025-03-16,2,105,1.9%,9.1
2025-03-17,2,173,1.16%,7.7
2025-03-18,1,219,0.46%,7.7
2025-03-19,2,186,1.08%,8.3
2025-03-20,1,166,0.6%,7.7
2025-03-21,1,280,0.36%,6.1
2025-03-22,2,57,3.51%,10.2
2025-03-23,0,81,0%,13.3
2025-03-24,1,184,0.54%,9.6
2025-03-25,2,217,0.92%,9.4
2025-03-26,2,120,1.67%,7.5
2025-03-27,2,361,0.55%,4.8
2025-03-28,0,132,0%,9.1
2025-03-29,2,185,1.08%,5.8
2025-03-30,0,68,0%,14.1
2025-03-31,2,141,1.42%,10.8
2025-04-01,1,136,0.74%,10.3
2025-04-02,3,132,2.27%,8.5
2025-04-03,4,135,2.96%,9.3
2025-04-04,1,107,0.93%,9.8
2025-04-05,2,62,3.23%,12.5
2025-04-06,3,75,4%,9.4
2025-04-07,3,135,2.22%,8.6
2025-04-08,0,283,0%,5.5
2025-04-09,4,149,2.68%,7.6
2025-04-10,1,149,0.67%,8.6
2025-04-11,1,98,1.02%,10.4
2025-04-12,0,208,0%,7.5
2025-04-13,1,51,1.96%,12.4
2025-04-14,3,102,2.94%,8.7
2025-04-15,7,122,5.74%,7.7
2025-04-16,3,97,3.09%,12.8
2025-04-17,1,81,1.23%,8.9
2025-04-18,0,77,0%,9.6
2025-04-19,0,83,0%,10.9
2025-04-20,2,44,4.55%,14.7
2025-04-21,0,78,0%,9.8
2025-04-22,5,108,4.63%,11.2
2025-04-23,5,119,4.2%,12.9
2025-04-24,1,99,1.01%,8.6
2025-04-25,0,63,0%,15.3
2025-04-26,1,32,3.12%,9
2025-04-27,2,43,4.65%,10.1
2025-04-28,0,668,0%,3.7
2025-04-29,2,716,0.28%,3.1
2025-04-30,3,230,1.3%,6.1
2025-05-01,1,95,1.05%,8
2025-05-02,2,68,2.94%,9.8
2025-05-03,0,304,0%,4.3
2025-05-04,2,60,3.33%,12.2
2025-05-05,1,625,0.16%,3.9
2025-05-06,0,903,0%,3.5
2025-05-07,1,197,0.51%,5.4
2025-05-08,6,113,5.31%,11.5
2025-05-09,1,81,1.23%,12.6
2025-05-10,0,151,0%,4.6
2025-05-11,0,75,0%,15.5
2025-05-12,1,419,0.24%,5
2025-05-13,3,115,2.61%,10.8
2025-05-14,1,118,0.85%,14
2025-05-15,3,86,3.49%,10.2
2025-05-16,0,318,0%,5
2025-05-17,0,42,0%,12.1
2025-05-18,0,252,0%,5.1
2025-05-19,1,296,0.34%,5.3
2025-05-20,4,111,3.6%,9.6
2025-05-21,1,109,0.92%,8.9
2025-05-22,4,118,3.39%,8.9
2025-05-23,5,120,4.17%,8
2025-05-24,0,52,0%,13.9
2025-05-25,0,61,0%,27.2
2025-05-26,1,73,1.37%,12.3
2025-05-27,2,120,1.67%,10
2025-05-28,5,110,4.55%,12.4
2025-05-29,2,98,2.04%,16.8
2025-05-30,5,256,1.95%,6.3
2025-05-31,0,56,0%,21.8
2025-06-01,1,56,1.79%,13.5
2025-06-02,0,264,0%,6.8
2025-06-03,2,115,1.74%,14.3
2025-06-04,7,88,7.95%,15.2
2025-06-05,3,102,2.94%,14
2025-06-06,3,85,3.53%,14.6
