Top pages,Clicks,Impressions,CTR,Position
https://www.buildempathy.com/about-us,158,18491,0.85%,3.37
https://www.buildempathy.com/,74,16470,0.45%,7.77
https://www.buildempathy.com/sensors,59,1810,3.26%,7.82
https://www.buildempathy.com/casestudies/middleschooltests,36,2098,1.72%,20.75
https://www.buildempathy.com/human-ai-interactions/aiabstinence,31,2164,1.43%,8.34
https://www.buildempathy.com/human-ai-interactions/khanmigo,28,15714,0.18%,8.06
https://www.buildempathy.com/levelup,26,564,4.61%,12.81
https://www.buildempathy.com/education,14,1511,0.93%,10.69
https://www.buildempathy.com/research-insights/khanmigo,8,2580,0.31%,7.83
https://www.buildempathy.com/casestudies/aitutor,6,690,0.87%,11.57
https://www.buildempathy.com/level-up-terms-of-service,4,81,4.94%,10.67
https://www.buildempathy.com/research,2,1570,0.13%,10.18
https://www.buildempathy.com/parent-prompts,2,197,1.02%,9.43
https://www.buildempathy.com/level-up-add-rubric,2,69,2.9%,10.14
https://www.buildempathy.com/designingwonderstories,1,1664,0.06%,5.28
https://www.buildempathy.com/casestudies,1,874,0.11%,8.63
https://www.buildempathy.com/designinglegoplay,1,302,0.33%,9.95
https://www.buildempathy.com/casestudies/learningrewards,1,207,0.48%,45.09
https://www.buildempathy.com/casestudies/legotechnic,1,202,0.5%,21.91
https://www.buildempathy.com/level-up-privacy,1,199,0.5%,10.04
https://www.buildempathy.com/ai-research,1,159,0.63%,6.94
https://www.buildempathy.com/user-bots,1,77,1.3%,11.53
https://www.buildempathy.com/empoweringparents-1,1,27,3.7%,17.85
https://www.buildempathy.com/mpath,1,15,6.67%,5.33
http://www.buildempathy.com/,1,10,10%,1.3
https://www.buildempathy.com/boardgamepickup,1,3,33.33%,11.67
http://buildempathy.com/,1,1,100%,1
https://www.buildempathy.com/designingclasscraft,0,667,0%,43.69
https://www.buildempathy.com/s/hedmanCV2025v1.pdf,0,625,0%,6.37
https://www.buildempathy.com/empoweringparents,0,374,0%,28.66
https://www.buildempathy.com/casestudies/lowes,0,362,0%,12.79
https://www.buildempathy.com/human-ai-interactions/teacher-adoption,0,344,0%,19.56
https://www.buildempathy.com/test-kitchen,0,342,0%,45
https://www.buildempathy.com/casestudies/wonderstory,0,286,0%,10.19
https://www.buildempathy.com/casestudies/engagedreading,0,214,0%,22.02
https://www.buildempathy.com/casestudies/digitalmath,0,213,0%,16.31
https://www.buildempathy.com/home-old,0,147,0%,7.9
https://www.buildempathy.com/contact,0,128,0%,17.4
https://www.buildempathy.com/understand,0,111,0%,12.44
https://www.buildempathy.com/writingstudy,0,105,0%,8.5
https://www.buildempathy.com/toddlerscanread,0,100,0%,7.8
https://www.buildempathy.com/casestudies/digitalmiddle,0,84,0%,57.55
https://www.buildempathy.com/ai-parents,0,68,0%,19.28
https://www.buildempathy.com/learn,0,67,0%,6.93
https://www.buildempathy.com/legoreading,0,51,0%,6.33
https://www.buildempathy.com/sxswhelp,0,38,0%,20.63
https://www.buildempathy.com/designingeducationcom,0,32,0%,12.62
https://www.buildempathy.com/casestudies/digitalelementary,0,31,0%,15.19
https://www.buildempathy.com/researchstudy,0,28,0%,27.93
https://www.buildempathy.com/sxswedu2024,0,24,0%,9.29
https://www.buildempathy.com/parenting-ai,0,23,0%,10
https://www.buildempathy.com/s/levelUpWalkthrough.pdf,0,22,0%,5.68
http://www.buildempathy.com/empowerplay,0,17,0%,8.88
https://www.buildempathy.com/human-ai-interactions,0,16,0%,19.12
https://www.buildempathy.com/casestudies/cancerdetection,0,11,0%,6.73
https://www.buildempathy.com/casestudies/addition-lbmkg,0,11,0%,19.18
https://www.buildempathy.com/s/sprPosterV3.pptx,0,10,0%,6.9
https://www.buildempathy.com/s/hedmanResume-2023.pdf,0,8,0%,7.5
https://www.buildempathy.com/s/Hedman-spr-ambulatory-EDA.pdf,0,8,0%,18.75
https://www.buildempathy.com/s/empoweringPlay.pdf,0,7,0%,5.43
https://www.buildempathy.com/iste24,0,7,0%,6.29
https://www.buildempathy.com/how-to-learn-almost-anything,0,3,0%,1
https://www.buildempathy.com/s/ConsentFormV1.pdf,0,2,0%,8
https://www.buildempathy.com/research-insights/,0,1,0%,9
