Top queries,Clicks,Impressions,CTR,Position
elliott hedman,46,171,26.9%,1.24
mpath,26,11813,0.22%,7.62
elliot hedman,22,275,8%,1.32
khanamigo,6,10578,0.06%,6.05
mpath ai,3,309,0.97%,6.93
testing motivation for students,2,25,8%,27.96
khanmigo,1,207,0.48%,24.75
garrett hedman,1,108,0.93%,14.03
motivating middle school students,1,92,1.09%,26.65
cow man elliot hedman wonder.io,0,781,0%,1.65
classcraft.com,0,366,0%,50.26
"""skeleton faces"" ""elliot hedman""",0,341,0%,1.04
cow man elliot hedman,0,317,0%,1.31
cow man by elliot hedman wonder.io,0,286,0%,2.62
"""cow man"" ""elliot hedman""",0,277,0%,2.4
khanamingo,0,222,0%,5.63
ai test kitchen,0,207,0%,54.29
test motivation for students,0,198,0%,19.25
digital rewards for students,0,164,0%,51.29
khanmigo for students,0,155,0%,15.67
lego read and play,0,148,0%,1.59
"""skeleton faces"" elliot hedman",0,147,0%,1.02
"""elliot hedman"" ""skeleton faces""",0,139,0%,1.04
cow man elliot hedman wonder,0,135,0%,1.27
tutor feedback ai agent,0,135,0%,26.7
m path,0,134,0%,20.4
"""elliott hedman""",0,130,0%,2.28
"""cow man"" elliot hedman",0,127,0%,2.09
skeleton faces elliot hedman,0,124,0%,1.01
wonder.io cow man elliot hedman,0,112,0%,1.62
evaluate the retail company lowe’s on vacuum,0,106,0%,6.04
dr hedman,0,106,0%,8.49
cow man elliot hedman wonder.io questions,0,103,0%,1.83
"""cow man"" elliot hedman wonder.io",0,92,0%,1.02
the lab school khanmigo ai khan,0,90,0%,17.47
khan amigo,0,86,0%,7.85
mpath login,0,85,0%,12.53
emotional sensor,0,79,0%,8.87
elliot hedman cow man,0,78,0%,1.87
elliot hedman wonder.io,0,76,0%,1.89
the khan lab school khanmigo ai,0,74,0%,22.27
test taking motivation,0,73,0%,42.93
wonder.io,0,71,0%,4.82
mpath academy,0,69,0%,8.16
khanmigo does not give direct answers,0,67,0%,6.03
m-path,0,67,0%,23.28
wonder.io elliot hedman,0,66,0%,6.68
evaluate the retail company lowe’s on vacuum cleaner,0,65,0%,8.23
abstinence essay,0,63,0%,48.43
"""cow man"" ""elliott hedman""",0,58,0%,1.78
khanmigo tool,0,58,0%,47.03
"elliot hedman ""skeleton faces""",0,57,0%,1.07
elliot hedman author,0,56,0%,5
empoweringparents.com,0,52,0%,81.98
how to motivate test teams,0,49,0%,48.31
"""elliot hedman"" ""wonder stories""",0,45,0%,7.42
khan lab school khanmigo ai khan,0,44,0%,46.11
elliot hedman skeleton faces,0,42,0%,1.14
lab school khanmigo ai khan academy,0,42,0%,57.69
digital mapping for schools,0,41,0%,93
empowering parents website,0,37,0%,79.19
elliot hedman 5 minute mysteries,0,36,0%,7.81
motivating the middle,0,36,0%,45.39
testing motivation,0,36,0%,50.28
cow man wonder.io elliot hedman,0,33,0%,1.64
"""elliot hedman"" ""5 minute mysteries""",0,31,0%,8.13
spell abstinence,0,31,0%,13.23
pmateh,0,30,0%,9.17
level up ai,0,30,0%,21
khan lab khanmigo ai khan academy,0,30,0%,79.17
"""elliot hedman"" ""cow man""",0,29,0%,2.52
ai tutor agent architectures for grading decisions,0,28,0%,7.82
how do i make a teacher account on classcraft,0,28,0%,22.75
khanmigo.ai,0,28,0%,77
ai abstinence,0,27,0%,2.37
khanmigo avoids direct answers,0,26,0%,5.96
khan lab school khanmigo ai academy,0,26,0%,56.85
https://wonder.io,0,25,0%,2.24
the muddy race elliot hedman wonder.io,0,24,0%,1
khanmigo refuses to give direct answers,0,24,0%,2.04
mpaths,0,23,0%,9.3
empath ai,0,22,0%,72.64
wonder.io the muddy race elliot hedman,0,21,0%,1
"""khan lab school"" ""khanmigo""",0,19,0%,5.21
is classcraft free,0,19,0%,56.21
khanmigo review,0,19,0%,56.79
"wonder.io ""cow man"" elliot hedman",0,18,0%,1.33
mpabhr,0,18,0%,5.72
digital math lessons,0,18,0%,59.17
mpath health,0,17,0%,23.82
mpath app,0,16,0%,11.94
classcraft sign up,0,16,0%,34.06
empathy.com,0,16,0%,56.25
"""5 minute mysteries"" ""elliot hedman""",0,15,0%,8.33
cow man elliot hedman wonder.io questions 1 to 5,0,14,0%,2.36
mpa,0,14,0%,6.64
engaging readers,0,13,0%,57
"""the muddy race"" elliot hedman wonder.io",0,12,0%,1
mpath company,0,12,0%,9.58
ai test kitchen app,0,12,0%,43.08
highly motivating,0,12,0%,56.83
"""cow man"" by elliot hedman",0,11,0%,1
test encouragement for students,0,11,0%,25.18
what is khanmigo for students,0,11,0%,37.91
abstinence,0,10,0%,1
khanmigo scaffolding,0,10,0%,9.5
absitence,0,10,0%,16.8
test motivation for kids,0,10,0%,33
ed elliott,0,10,0%,61.3
"""cow man"" ""wonder"" ""elliot hedman""",0,9,0%,1.22
mpatg,0,9,0%,7.56
middle school motivation,0,9,0%,25.33
mpatha,0,9,0%,34.56
test kitchen ai,0,9,0%,49.22
levelup sign up,0,9,0%,61
engaging read,0,9,0%,63.78
online learning parental consent ai agent,0,9,0%,85.33
local guide program,0,8,0%,1
"""cow man"" ""wonder stories"" elliot hedman",0,8,0%,5.12
classcraft,0,8,0%,51.88
how do i use classcraft,0,8,0%,79.62
"""cow man"" ""elliot hedman"" wonder.io",0,7,0%,1.43
cow man wonder stories elliot hedman,0,7,0%,4.29
m-path pricing,0,7,0%,9
"""5 minute mysteries"" elliot hedman",0,7,0%,9.43
m-path login,0,7,0%,10.43
school testing motivation,0,7,0%,11.86
"mpath, arts & entertainment",0,7,0%,15
vacuums at lowes,0,7,0%,27.14
motivation for middle school students,0,7,0%,32
levelup ai,0,7,0%,37
emotion sensor,0,7,0%,41.43
test motivation for elementary students,0,7,0%,55.14
mpath meaning,0,7,0%,57.43
middle school tests,0,7,0%,59.86
"""elliott hedman"" ""cow man""",0,6,0%,1.17
mparimatch,0,6,0%,26.33
mine khan khan academy,0,6,0%,52
google ai test kitchen,0,6,0%,88.33
khanmigo review complaints,0,5,0%,1
mpath logo,0,5,0%,3.6
cow man elliot hedman wonder stories,0,5,0%,4
khanamigo ai,0,5,0%,5.8
"""elliott hedman"" ""5 minute mysteries""",0,5,0%,8.6
"elliot hedman ""5 minute mysteries""",0,5,0%,8.6
elliot hedman wonder stories,0,5,0%,9
"how can khanmigo be used outside of school, not academically?",0,5,0%,9.8
mpathe,0,5,0%,10.4
mpayr,0,5,0%,17.2
khanmigo free trial,0,5,0%,17.6
test motivation,0,5,0%,32
mpathic ai,0,5,0%,37.2
above and beyond ai,0,5,0%,60.8
lego modelling,0,5,0%,77
#levelup,0,5,0%,85
curricullum,0,4,0%,15.75
khan academy fortnite,0,4,0%,23
critcal thinking,0,4,0%,48.75
ai agent tutor,0,4,0%,57
motivation test for students,0,4,0%,57.75
ai test kitchen google,0,4,0%,91
how do i use classcraft for students,0,4,0%,94.75
"""cow man"" ""elliot hedman"" wonder",0,3,0%,1
"""cow man"" ""wonder.io"" elliot hedman",0,3,0%,1
wonder.io 'cow man' elliot hedman,0,3,0%,1
m.path,0,3,0%,1.33
cow man by elliot hedman,0,3,0%,2
"""elliot hedman"" wonder.io",0,3,0%,3.33
khanmigo remediation,0,3,0%,7
khanmigo diagnoses misconceptions,0,3,0%,8
"is there an ai tutor app that uses multiple agents an has a feature of 
replicating a teacher by reading the source verbatim, first and trhen 
explaining?",0,3,0%,10.33
hkmigo,0,3,0%,14.33
how to motivate middle school students,0,3,0%,25
lego technic instructions app,0,3,0%,32.33
test taking motivation for elementary students,0,3,0%,33
student testing motivation,0,3,0%,35.33
mpath music,0,3,0%,35.67
aitest kitchen,0,3,0%,37
how does khan academy write on screen,0,3,0%,40.33
khanmigo australia,0,3,0%,42.67
lego mistakes,0,3,0%,47
motivation for testing,0,3,0%,50.33
my teacher thinks i used ai but i didn't,0,3,0%,52.33
khanmigo reviews,0,3,0%,54.33
lowes water features,0,3,0%,57.67
30 minute consultation,0,3,0%,74
elliot marrow,0,3,0%,74.67
motivating students who don't care,0,3,0%,86
al 기권,0,2,0%,1
the muddy race by elliot hedman site:wonder.io,0,2,0%,1
the muddy race by elliot hedman wonder.io,0,2,0%,1
mpaa,0,2,0%,5
wonder stories cow man elliot hedman,0,2,0%,5.5
mpa school,0,2,0%,6.5
mpa health care,0,2,0%,7
mpath interactive,0,2,0%,8
mpatr,0,2,0%,8
mpsth,0,2,0%,9.5
mpathways,0,2,0%,13.5
playiste,0,2,0%,18.5
wet dry vacuum lowes,0,2,0%,22.5
wonderio,0,2,0%,22.5
how do you spell abstinence,0,2,0%,23
mepath,0,2,0%,26
the narrator is motivated by a desire for,0,2,0%,26
lowes vacuums on sale,0,2,0%,27
m path login,0,2,0%,28
empowerplay,0,2,0%,28.5
classcraft student login,0,2,0%,31
abstinence is just a state of mind,0,2,0%,31.5
plagerism detect,0,2,0%,37
how do you fail 8th grade,0,2,0%,37.5
classcraft for teachers,0,2,0%,39
motivation for kids testing,0,2,0%,40
curicullum,0,2,0%,41
mpathie,0,2,0%,46
classcraft free version,0,2,0%,46.5
kindergardner,0,2,0%,48
gamma level up curriculum,0,2,0%,48.5
khanmigo for college students,0,2,0%,48.5
psychic research,0,2,0%,49
classcraft login,0,2,0%,53
lowes wet dry vacuum,0,2,0%,55
testing motivation for kids,0,2,0%,56.5
parents permission ai agent,0,2,0%,59.5
testing encouragement for kids,0,2,0%,63
userbots,0,2,0%,65.5
"-site:facebook.com -site:fb.me -site:youtube.com -site:youtu.be 
-site:youtube.be -site:twitter.com -site:instagram.com -site:tiktok.com 
-site:vm.tiktok.com -site:t.co -site:x.com -site:reddit.com ( ""edtech"" and 
( ""ai tutor"" or ""ai homework help"" or ""ai grading tools"" or ""online 
teaching tools"" or ""lms integration"" or ""digital learning platform"" or 
""digital tools for the classroom"" or ""teacher workload"" or ""teacher 
burnout"" or ""lms"" or ""teaching"" or ""classroom"" or ""instructor"" or ""learning 
platform"" or ""digital tools"" ) ) or ( ""education technology"" and ( ""ai 
tutor"" or ""ai homework help"" or ""ai grading tools"" or ""online teaching 
tools"" or ""lms integration"" or ""digital learning platform"" or ""digital 
tools for the classroom"" or ""teacher workload"" or ""teacher burnout"" or 
""lms"" or ""teaching"" or ""classroom"" or ""instructor"" or ""learning platform"" 
or ""digital tools"" ) ) or ( ""course management"" and ( ""ai tutor"" or ""ai 
homework help"" or ""ai grading tools"" or ""online teaching tools"" or ""lms 
integration"" or ""digital learning platform"" or ""digital tools for the 
classroom"" or ""teacher workload"" or ""teacher burnout"" or ""lms"" or 
""teaching"" or ""classroom"" or ""instructor"" or ""learning platform"" or 
""digital tools"" ) ) -""enterprise"" -""corporate"" -""saas"" -""startup"" -""b2b"" 
-""sales"" -""marketing"" -""seo"" -""advertising"" -""crm"" -""customer support"" 
-""customer service"" -""product roadmap"" -""roadmap"" -""pricing"" -""pricing 
model"" -""subscription"" -""investor"" -""investment"" -""funding"" -""venture 
capital"" -""m&a"" -""acquisition"" -""ipo"" -""earnings"" -""stock"" -""shareholders"" 
-""coding"" -""programming"" -""software development"" -""developer"" -""github"" 
-""api"" -""open source"" -""machine learning"" -""data science"" -""model training"" 
-""cloud computing"" -""devops"" -""cybersecurity"" -""it infrastructure"" -""hr"" 
-""employee training"" -""onboarding"" -""compliance"" -""legal"" -""procurement""",0,2,0%,66
aitestkitchen,0,2,0%,66.5
what age is classcraft for,0,2,0%,76.5
ai test chicken,0,2,0%,83
abstinence a state of mind,0,2,0%,88.5
mood sensor,0,2,0%,90
"""the muddy race"" ""elliot hedman""",0,1,0%,1
ai kills creativity,0,1,0%,1
best writing app for kids,0,1,0%,1
engineering jobs near me,0,1,0%,1
engineering jobs winston salem nc,0,1,0%,1
galvanic skin response,0,1,0%,1
hani ai prototype,0,1,0%,1
how to use we will write,0,1,0%,1
is snapchat ai detectable by teachers,0,1,0%,1
short responce,0,1,0%,1
cow man elliot hedman wonder.io questions 1 5,0,1,0%,2
moxo,0,1,0%,2
mchathpt,0,1,0%,3
who is abstain,0,1,0%,3
khanmigo diagnoses student misconceptions,0,1,0%,4
mpath lab,0,1,0%,4
on a test,0,1,0%,4
wonder io,0,1,0%,4
ath,0,1,0%,5
emplath,0,1,0%,5
mtpath,0,1,0%,5
"wonder.io ""elliot hedman""",0,1,0%,5
khanmigo adapts difficulty,0,1,0%,6
lowe's wet vac,0,1,0%,6
μπαθομετ,0,1,0%,6
elliot hedman 5 minute mysteries series,0,1,0%,7
mpait,0,1,0%,7
absi stock,0,1,0%,9
mpathg,0,1,0%,9
khanmigo step-by-step scaffolding,0,1,0%,10
m-path.io,0,1,0%,10
what is a mpath,0,1,0%,10
ai level up,0,1,0%,11
how to migrate from khanmigo to another ai platform,0,1,0%,11
smpath,0,1,0%,11
misa misono,0,1,0%,12
tell me,0,1,0%,12
google hot air balloon game,0,1,0%,13
what is mpath,0,1,0%,13
show pic,0,1,0%,15
lowes vacuum sweepers,0,1,0%,21
how to motivate students for exam,0,1,0%,22
sxsw id,0,1,0%,22
m path app,0,1,0%,23
mfath,0,1,0%,23
khanmigo competitors,0,1,0%,24
lego technic building instructions app,0,1,0%,24
ai plagerism,0,1,0%,27
ai tutor agent,0,1,0%,27
vacuum at lowes,0,1,0%,27
fortnite khan academy,0,1,0%,28
motivating middle school students who don't care,0,1,0%,29
classcraft login teacher,0,1,0%,31
khanmigo ai,0,1,0%,32
m-path app,0,1,0%,32
how to spell abstinence,0,1,0%,33
psychic study,0,1,0%,35
classcraft website,0,1,0%,36
free plagerism,0,1,0%,36
smarter button khan academy,0,1,0%,36
water fountain at lowes,0,1,0%,36
build lego digitally,0,1,0%,37
how to get khanmigo,0,1,0%,37
is khanmigo good,0,1,0%,37
test middle school,0,1,0%,39
fake vacuum,0,1,0%,40
site:web.media.mit.edu,0,1,0%,40
the narrator is motivated by a desire for .,0,1,0%,41
khanmigo sign in,0,1,0%,42
the emotional experience of learning and teaching,0,1,0%,44
khanmigo for learners,0,1,0%,45
the art of leveling up,0,1,0%,45
levelup reader app,0,1,0%,46
abstinence poster ideas,0,1,0%,48
m-path sense,0,1,0%,48
the students were tested,0,1,0%,48
khanmigo.com,0,1,0%,50
lego camera instructions,0,1,0%,51
why does it say i used ai when i didn't,0,1,0%,51
level up classroom engagement,0,1,0%,52
is khanmigo worth it,0,1,0%,54
khan academy answer,0,1,0%,55
lego reader,0,1,0%,55
lowes water feature,0,1,0%,55
abstinence is a state of mind,0,1,0%,58
khanmigo for teachers,0,1,0%,59
engaging reading,0,1,0%,60
mpatgm,0,1,0%,60
dr elliot heller,0,1,0%,61
level up tutorial,0,1,0%,61
how does khanmigo work,0,1,0%,62
free psychic ability test,0,1,0%,63
how much is moxo,0,1,0%,63
marxo level up!,0,1,0%,65
classcraft teacher,0,1,0%,66
khanmigo what is it,0,1,0%,66
lego representation,0,1,0%,67
why is turnitin saying i used ai when i didn't,0,1,0%,68
3 pillars of teaching,0,1,0%,69
how to get khanmigo for free,0,1,0%,70
teachers are the pillars of education,0,1,0%,72
can using ai get you expelled,0,1,0%,73
catching ai,0,1,0%,73
lego software design,0,1,0%,73
www.classcraft.com,0,1,0%,73
ai kitchen test,0,1,0%,74
emotion sensors,0,1,0%,77
empowering parent,0,1,0%,77
khanmigo free,0,1,0%,77
professor elliott,0,1,0%,77
lowe's wet dry vac,0,1,0%,78
what is khanmigo,0,1,0%,81
elliot ruggles,0,1,0%,82
what is ai test kitchen,0,1,0%,82
three pillars of teaching,0,1,0%,84
digital math instruction,0,1,0%,86
motivation for tests,0,1,0%,87
why should we think critically when it comes to using ai giving us answers?,0,1,0%,88
testing psychic abilities,0,1,0%,89
will button,0,1,0%,89
who owns khanmigo,0,1,0%,90
empathy com,0,1,0%,93
schoolai vs khanmigo,0,1,0%,93
feel emotion sensor,0,1,0%,94
class builder,0,1,0%,96
designing lego,0,1,0%,97
math prototype,0,1,0%,99
why students shouldn't use ai,0,1,0%,99
do i have psychic abilities,0,1,0%,100
khanmigo ai free,0,1,0%,100
lego reading books,0,1,0%,105
