Date,Clicks,Impressions,CTR,Position
2026-01-14,2,28,7.14%,4.5
2026-01-15,0,17,0%,4.5
2026-01-16,0,17,0%,5.1
2026-01-17,1,10,10%,2.1
2026-01-18,1,154,0.65%,2.2
2026-01-19,1,87,1.15%,3.5
2026-01-20,2,16,12.5%,8.1
2026-01-21,1,164,0.61%,2.2
2026-01-22,1,12,8.33%,2
2026-01-23,1,11,9.09%,9.5
2026-01-24,1,7,14.29%,4.4
2026-01-25,0,754,0%,1.6
2026-01-26,1,18,5.56%,5.9
2026-01-27,1,13,7.69%,1.8
2026-01-28,0,8,0%,3.2
2026-01-29,2,18,11.11%,6.3
2026-01-30,1,7,14.29%,6.1
2026-01-31,0,3,0%,4.7
2026-02-01,0,6,0%,12
2026-02-02,0,29,0%,2
2026-02-03,3,15,20%,3.1
2026-02-04,1,6,16.67%,4
2026-02-05,2,37,5.41%,3.6
2026-02-06,2,16,12.5%,3
2026-02-07,2,17,11.76%,4.9
2026-02-08,4,838,0.48%,1.3
2026-02-09,2,10,20%,1.4
2026-02-10,2,9,22.22%,1.8
2026-02-11,0,418,0%,1.1
2026-02-12,1,12,8.33%,2.8
2026-02-13,1,20,5%,5.8
2026-02-14,2,6,33.33%,5.2
2026-02-15,0,6,0%,19.7
2026-02-16,0,11,0%,5.6
2026-02-17,6,11,54.55%,2.6
2026-02-18,0,5,0%,10.6
2026-02-19,4,468,0.85%,1.6
2026-02-20,1,4,25%,1
2026-02-21,2,600,0.33%,1.4
2026-02-22,1,633,0.16%,1.4
2026-02-23,2,110,1.82%,1.8
2026-02-24,2,12,16.67%,3.4
2026-02-25,4,490,0.82%,1.5
2026-02-26,3,21,14.29%,3.8
2026-02-27,1,11,9.09%,9.6
2026-02-28,0,9,0%,4.4
2026-03-01,0,2,0%,1
2026-03-02,4,14,28.57%,3
2026-03-03,9,13,69.23%,1.6
2026-03-04,1,8,12.5%,1.5
2026-03-05,1,6,16.67%,5.2
2026-03-06,13,22,59.09%,1.1
2026-03-07,0,52,0%,1.6
2026-03-08,17,90,18.89%,1.5
2026-03-09,3,11,27.27%,3.5
2026-03-10,6,13,46.15%,1.4
2026-03-11,3,14,21.43%,1.8
2026-03-12,3,89,3.37%,2.3
2026-03-13,1,132,0.76%,1.5
2026-03-14,0,3,0%,7.7
2026-03-15,1,4,25%,7.5
2026-03-16,1,8,12.5%,4.9
2026-03-17,3,208,1.44%,1.3
2026-03-18,1,9,11.11%,1.8
2026-03-19,1,4,25%,2.5
2026-03-20,0,2,0%,5
2026-03-21,1,563,0.18%,1.3
2026-03-22,0,10,0%,1.3
2026-03-23,1,330,0.3%,1.1
2026-03-24,7,15,46.67%,1.4
2026-03-25,0,129,0%,1.3
2026-03-26,2,8,25%,1.6
2026-03-27,4,11,36.36%,4.6
2026-03-28,1,6,16.67%,3.3
2026-03-29,1,7,14.29%,4.9
2026-03-30,0,6,0%,10.5
2026-03-31,1,8,12.5%,11.1
2026-04-01,2,128,1.56%,2.1
2026-04-02,0,77,0%,2.5
2026-04-03,2,4,50%,5
2026-04-04,1,11,9.09%,3.5
2026-04-05,0,423,0%,1.3
2026-04-06,0,7,0%,4
2026-04-07,3,12,25%,5.6
2026-04-08,1,13,7.69%,8.6
2026-04-09,1,12,8.33%,4.8
2026-04-10,0,6,0%,25.2
2026-04-11,1,36,2.78%,2.6
2026-04-12,0,14,0%,2.7
2026-04-13,2,191,1.05%,2.3
