Country,Clicks,Impressions,CTR,Position
United States,58,6139,0.94%,1.57
Australia,26,45,57.78%,1.47
United Kingdom,21,148,14.19%,1.77
India,8,47,17.02%,2.49
Denmark,6,13,46.15%,2.31
France,5,43,11.63%,1.42
Pakistan,3,22,13.64%,1.5
Egypt,3,18,16.67%,3.11
Netherlands,3,17,17.65%,4.12
Mexico,2,65,3.08%,4.22
Indonesia,2,48,4.17%,3.38
Argentina,2,46,4.35%,1.41
Italy,2,44,4.55%,2.77
Spain,2,40,5%,7.75
Ecuador,2,27,7.41%,2.67
Kazakhstan,2,6,33.33%,11.17
Mali,2,2,100%,1
Brazil,1,246,0.41%,2.1
Germany,1,53,1.89%,2.02
Turkey,1,45,2.22%,3.69
Sweden,1,20,5%,1.55
Chile,1,20,5%,2.4
Saudi Arabia,1,18,5.56%,1
Peru,1,14,7.14%,1.43
Malaysia,1,13,7.69%,3.69
Serbia,1,12,8.33%,1.83
Ireland,1,7,14.29%,1.86
Finland,1,7,14.29%,5.86
Lithuania,1,3,33.33%,2
Cambodia,1,2,50%,2.5
Tanzania,1,2,50%,6.5
Canada,0,134,0%,1.47
South Korea,0,47,0%,2.19
Vietnam,0,30,0%,6.7
Colombia,0,26,0%,1.77
Morocco,0,21,0%,2.62
Philippines,0,21,0%,6.71
Iraq,0,20,0%,2.15
Venezuela,0,17,0%,1.12
Ukraine,0,16,0%,1.69
Tunisia,0,14,0%,1.57
South Africa,0,14,0%,1.71
Poland,0,13,0%,2.69
Japan,0,12,0%,3
Romania,0,12,0%,3.58
Algeria,0,11,0%,1.73
Dominican Republic,0,11,0%,3.36
Seychelles,0,10,0%,1.5
Bangladesh,0,9,0%,2.11
Thailand,0,9,0%,2.44
Portugal,0,8,0%,1.38
Taiwan,0,8,0%,1.38
Israel,0,8,0%,3.38
Costa Rica,0,7,0%,1.29
Hong Kong,0,7,0%,4.29
Panama,0,6,0%,1.33
Ethiopia,0,6,0%,1.5
Czechia,0,6,0%,3
Switzerland,0,6,0%,4.33
Nepal,0,6,0%,4.5
Belgium,0,5,0%,1
Albania,0,5,0%,1.2
Hungary,0,5,0%,1.2
Puerto Rico,0,5,0%,2.6
United Arab Emirates,0,5,0%,3.2
Norway,0,5,0%,3.6
El Salvador,0,5,0%,4
Iran,0,5,0%,8.4
Jamaica,0,4,0%,1.25
Jordan,0,4,0%,1.25
Uruguay,0,4,0%,1.25
Greece,0,4,0%,1.75
Moldova,0,4,0%,1.75
Russia,0,4,0%,3.25
Nigeria,0,4,0%,3.75
Senegal,0,4,0%,7.5
Georgia,0,3,0%,1
Lebanon,0,3,0%,1
Trinidad & Tobago,0,3,0%,1
Bosnia & Herzegovina,0,3,0%,1.33
Belarus,0,3,0%,2
Guatemala,0,3,0%,2
New Zealand,0,3,0%,2
Singapore,0,3,0%,3.33
Honduras,0,3,0%,6.33
Angola,0,3,0%,8
Azerbaijan,0,2,0%,1
Estonia,0,2,0%,1
Ghana,0,2,0%,1
Madagascar,0,2,0%,1
Oman,0,2,0%,1
Paraguay,0,2,0%,1
Palestine,0,2,0%,1
Slovakia,0,2,0%,1
Bahamas,0,2,0%,1.5
Croatia,0,2,0%,1.5
Kenya,0,2,0%,2
Bahrain,0,2,0%,2.5
Libya,0,2,0%,4
Austria,0,2,0%,5.5
Slovenia,0,2,0%,5.5
Bulgaria,0,2,0%,6.5
Armenia,0,1,0%,1
Burkina Faso,0,1,0%,1
Côte d’Ivoire,0,1,0%,1
Cyprus,0,1,0%,1
Luxembourg,0,1,0%,1
Latvia,0,1,0%,1
Nicaragua,0,1,0%,1
Syria,0,1,0%,1
Kosovo,0,1,0%,1
Zambia,0,1,0%,1
Belize,0,1,0%,2
Brunei,0,1,0%,2
Curaçao,0,1,0%,2
Afghanistan,0,1,0%,3
Macedonia,0,1,0%,3
Bolivia,0,1,0%,5
Kuwait,0,1,0%,5
Qatar,0,1,0%,5
Uzbekistan,0,1,0%,6
Papua New Guinea,0,1,0%,7
Guyana,0,1,0%,8
Mongolia,0,1,0%,9
Sri Lanka,0,1,0%,10
Isle of Man,0,1,0%,51
