Date,Clicks,Impressions,CTR,Position
2026-01-14,34,964,3.53%,17.3
2026-01-15,42,1069,3.93%,12.1
2026-01-16,26,1139,2.28%,15.4
2026-01-17,13,967,1.34%,20.8
2026-01-18,25,992,2.52%,16.1
2026-01-19,31,1159,2.67%,15.4
2026-01-20,33,1072,3.08%,13.9
2026-01-21,23,1093,2.1%,15.2
2026-01-22,41,1084,3.78%,16.3
2026-01-23,38,1013,3.75%,14.7
2026-01-24,20,856,2.34%,16
2026-01-25,19,1001,1.9%,16
2026-01-26,38,1029,3.69%,18.1
2026-01-27,35,949,3.69%,15.9
2026-01-28,31,1018,3.05%,15.8
2026-01-29,32,984,3.25%,13.3
2026-01-30,19,932,2.04%,14.4
2026-01-31,14,707,1.98%,14.4
2026-02-01,14,1102,1.27%,12.8
2026-02-02,28,1068,2.62%,13.9
2026-02-03,73,990,7.37%,12.9
2026-02-04,36,1100,3.27%,12.7
2026-02-05,34,953,3.57%,14.4
2026-02-06,23,772,2.98%,14.7
2026-02-07,14,786,1.78%,15.2
2026-02-08,15,1099,1.36%,10.7
2026-02-09,34,1020,3.33%,12.4
2026-02-10,30,931,3.22%,12.1
2026-02-11,22,1019,2.16%,11.8
2026-02-12,29,973,2.98%,12.3
2026-02-13,24,856,2.8%,12.8
2026-02-14,7,615,1.14%,12.4
2026-02-15,3,569,0.53%,10.7
2026-02-16,12,733,1.64%,11.4
2026-02-17,11,655,1.68%,13.6
2026-02-18,20,824,2.43%,15.1
2026-02-19,35,1126,3.11%,8.4
2026-02-20,16,748,2.14%,10.2
2026-02-21,10,521,1.92%,9.9
2026-02-22,2,537,0.37%,5.8
2026-02-23,6,483,1.24%,3.3
2026-02-24,7,346,2.02%,4
2026-02-25,13,535,2.43%,4.6
2026-02-26,12,485,2.47%,5.7
2026-02-27,13,490,2.65%,5
2026-02-28,1,401,0.25%,5.3
2026-03-01,4,592,0.68%,4.4
2026-03-02,5,493,1.01%,4.1
2026-03-03,14,546,2.56%,3.9
2026-03-04,7,524,1.34%,4.1
2026-03-05,10,417,2.4%,4
2026-03-06,16,426,3.76%,5
2026-03-07,6,386,1.55%,4.6
2026-03-08,26,778,3.34%,9.8
2026-03-09,46,1177,3.91%,12.4
2026-03-10,48,1095,4.38%,15.5
2026-03-11,41,1097,3.74%,20.7
2026-03-12,17,843,2.02%,16.5
2026-03-13,32,874,3.66%,13.2
2026-03-14,15,743,2.02%,17.2
2026-03-15,30,980,3.06%,20.3
2026-03-16,28,1039,2.69%,18.3
2026-03-17,36,999,3.6%,14
2026-03-18,43,900,4.78%,18.7
2026-03-19,29,986,2.94%,23.3
2026-03-20,26,972,2.67%,26.7
2026-03-21,12,1029,1.17%,20
2026-03-22,19,746,2.55%,24.5
2026-03-23,29,820,3.54%,15
2026-03-24,31,838,3.7%,16.9
2026-03-25,24,817,2.94%,18.7
2026-03-26,24,771,3.11%,15.7
2026-03-27,22,638,3.45%,16.7
2026-03-28,13,669,1.94%,23.6
2026-03-29,15,752,1.99%,21
2026-03-30,29,610,4.75%,17.3
2026-03-31,26,683,3.81%,22
2026-04-01,23,1942,1.18%,7.5
2026-04-02,14,632,2.22%,20.9
2026-04-03,8,634,1.26%,28.8
2026-04-04,11,497,2.21%,24.5
2026-04-05,15,628,2.39%,20.7
2026-04-06,23,621,3.7%,20.4
2026-04-07,37,605,6.12%,18.8
2026-04-08,32,618,5.18%,23.7
2026-04-09,28,634,4.42%,28
2026-04-10,22,675,3.26%,19.5
2026-04-11,11,565,1.95%,19.8
2026-04-12,15,577,2.6%,22.8
2026-04-13,16,840,1.9%,12.7
